date;close
2013/06/03 13:05;3841.89
2013/06/03 13:10;3841.12
2013/06/03 13:15;3844.08
2013/06/03 13:20;3843.13
2013/06/03 13:25;3839.79
2013/06/03 13:30;3835.86
2013/06/03 13:35;3836.67
2013/06/03 13:40;3830.95
2013/06/03 13:45;3830.3
2013/06/03 13:50;3831.54
2013/06/03 13:55;3833.71
2013/06/03 14:00;3835.84
2013/06/03 14:05;3835.1
2013/06/03 14:10;3832.83
2013/06/03 14:15;3826.5
2013/06/03 14:20;3815.53
2013/06/03 14:25;3817.15
2013/06/03 14:30;3812.64
2013/06/03 14:35;3806.88
2013/06/03 14:40;3804.05
2013/06/03 14:45;3808.3
2013/06/03 14:50;3809.57
2013/06/03 14:55;3810.84
2013/06/03 15:00;3814.51
2013/06/04 09:35;3809.19
2013/06/04 09:40;3806.07
2013/06/04 09:45;3791.26
2013/06/04 09:50;3789.02
2013/06/04 09:55;3780.96
2013/06/04 10:00;3786.93
2013/06/04 10:05;3790.22
2013/06/04 10:10;3785.77
2013/06/04 10:15;3772.84
2013/06/04 10:20;3769.62
2013/06/04 10:25;3771.21
2013/06/04 10:30;3767.85
2013/06/04 10:35;3782.4
2013/06/04 10:40;3788.39
2013/06/04 10:45;3783.22
2013/06/04 10:50;3781.91
2013/06/04 10:55;3779.15
2013/06/04 11:00;3781.08
2013/06/04 11:05;3773.57
2013/06/04 11:10;3766.47
2013/06/04 11:15;3765.85
2013/06/04 11:20;3760.42
2013/06/04 11:25;3751.31
2013/06/04 11:30;3741.48
2013/06/04 13:05;3734.08
2013/06/04 13:10;3738.54
2013/06/04 13:15;3735.53
2013/06/04 13:20;3734.15
2013/06/04 13:25;3733.47
2013/06/04 13:30;3719.84
2013/06/04 13:35;3709.23
2013/06/04 13:40;3717.64
2013/06/04 13:45;3724.33
2013/06/04 13:50;3721.7
2013/06/04 13:55;3716.75
2013/06/04 14:00;3726.72
2013/06/04 14:05;3727.12
2013/06/04 14:10;3727.41
2013/06/04 14:15;3732.98
2013/06/04 14:20;3736.47
2013/06/04 14:25;3738.9
2013/06/04 14:30;3737.85
2013/06/04 14:35;3737.65
2013/06/04 14:40;3727.89
2013/06/04 14:45;3726.75
2013/06/04 14:50;3737.71
2013/06/04 14:55;3739
2013/06/04 15:00;3739.72
2013/06/05 09:35;3739.83
2013/06/05 09:40;3729.8
2013/06/05 09:45;3737.61
2013/06/05 09:50;3734.63
2013/06/05 09:55;3731.27
2013/06/05 10:00;3738.8
2013/06/05 10:05;3747.71
2013/06/05 10:10;3752.06
2013/06/05 10:15;3748.1
2013/06/05 10:20;3744.79
2013/06/05 10:25;3742.19
2013/06/05 10:30;3743.45
2013/06/05 10:35;3744.72
2013/06/05 10:40;3747.31
2013/06/05 10:45;3750.78
2013/06/05 10:50;3757.13
2013/06/05 10:55;3758.71
2013/06/05 11:00;3751.89
2013/06/05 11:05;3747.59
2013/06/05 11:10;3745.04
2013/06/05 11:15;3743.32
2013/06/05 11:20;3736.08
2013/06/05 11:25;3732.72
2013/06/05 11:30;3734.6
2013/06/05 13:05;3736.08
2013/06/05 13:10;3738.37
2013/06/05 13:15;3736.1
2013/06/05 13:20;3731.42
2013/06/05 13:25;3731.67
2013/06/05 13:30;3730.24
2013/06/05 13:35;3721.49
2013/06/05 13:40;3718.83
2013/06/05 13:45;3725.33
2013/06/05 13:50;3728.7
2013/06/05 13:55;3731.07
2013/06/05 14:00;3732.77
2013/06/05 14:05;3733.62
2013/06/05 14:10;3740.91
2013/06/05 14:15;3748.52
2013/06/05 14:20;3746.88
2013/06/05 14:25;3745.28
